Year,Harvested Area (hectares), Production (tonnes), Yield (kg/hectare),Price per unit ($/tonne),Total Value ($'000)
Winter Wheat,,,,,
2017,372300.0,2185000.0,5900.0,205.80320366132725,449680.00000000006
2016,394600.0,2411300.0,6100.0,178.57421308008128,430596.0
2015,252900.0,1333600.0,5300.0,291.37991999999997,388584.26131199993
2014,313600.0,1627500.0,5200.0,234.05928,380931.4782
2013,422900.0,2277900.0,5400.0,236.07,537743.853
2012,331800.0,1750000.0,5274.261603375528,273.38,478400.1197474417
2011,445200.0,2245300.3298498,5043.352043687781,231.12,518925.5388634879
2010,346000.0,1850700.0,5348.843930635838,193.0,340400.0
2009,392500.0,1932300.0,4900.0,159.0,293400.0
2008,495700.0,2675300.0,5400.0,172.0,460600.0
2007,240800.0,1192000.0,5000.0,207.0,246600.0
2006,414800.0,2340500.0,5600.0,120.0,281300.0
2005,335900.0,1581200.0,4700.0,125.0,198400.0
2004,307600.0,1496800.0,4900.0,130.0,195000.0
2003,400600.0,2054800.0,5100.0,148.0,305000.0
2002,234700.0,1137600.0,4800.0,154.0,175100.0
2001,218500.0,1056000.0,4800.0,138.0,145900.0
2000,275200.0,1374400.0,5000.0,99.0,136400.0
1999,287300.0,1415200.0,4900.0,123.0,174700.0
1998,287300.0,1211100.0,4200.0,119.0,144200.0
1997,182100.0,748400.0,4100.0,142.0,105900.0
1996,291400.0,794700.0,2700.0,181.0,144000.0
1995,281300.0,1319900.0,4700.0,196.0,258500.0
1994,287300.0,1224700.0,4300.0,143.0,175100.0
1993,176000.0,630000.0,3600.0,129.0,81500.0
1992,279200.0,1276400.0,4600.0,103.0,131300.0
1991,164300.0,585100.0,3600.0,118.0,69000.0
1990,319700.0,1374400.0,4300.0,116.0,159600.0
1989,281300.0,1047800.0,3700.0,140.0,146700.0
1988,295400.0,1075000.0,3600.0,153.0,164300.0
1987,155800.0,544300.0,3500.0,170.0,92400.0
1986,259600.0,952500.0,3700.0,110.0,105000.0
1985,212500.0,955300.0,4500.0,143.0,136500.0
1984,206400.0,797400.0,3900.0,154.0,123100.0
1983,228600.0,775600.0,3400.0,147.0,113700.0
1982,121400.0,353800.0,2900.0,131.0,46200.0
1981,204400.0,708900.0,3500.0,157.0,111300.0
Grain Corn,Harvested Area (hectares), Production (tonnes),Yield (kg/hectare), Price per unit ($/tonne), Total Value ($'000)
2017,833700,8738000,10500,170.78,1492275.64
2016,809400,8052200,9900,190.1480340776434,1531110
2015,825600,8839600,10700,179.1244,1583388.04624
2014,752700,7600000,10100,183.84856000000002,1397249.056
2013,894400,9007300,10100,232.1,2090594.3299999998
2012,894400,8598000,9600,260.25,2397524.08556499
2011,809400,7722000,9500,242.64,1873667.9536679536
2010,785100,8077600,10300,207,1602200
2009,736500,6604300,9000,163,1037900
2008,700100,6858400,9800,185,1272200
2007,831600,6985400,8400,180,1259500
2006,621200,5867700,9400,149,873200
2005,633300,5766100,9100,107,616100
2004,647500,5334300,8200,116,618300
2003,698100,5562900,8000,143,793700
2002,773000,5486700,7100,156,855400
2001,793200,5131100,6500,135,694900
2000,698100,4610300,6600,127,584400
1999,728400,5867700,8100,112,656000
1998,744600,6020100,8100,118,708600
1997,683900,4826300,7100,144,695400
1996,728400,5080300,7000,153,776000
1995,698100,5131100,7400,183,937300
1994,663700,5029500,7600,118,594000
1993,708200,4826300,6800,131,634600
1992,566600,3454600,6100,109,376700
1991,765500,5308900,6900,105,558000
1990,740600,5258100,7100,104,546500
1989,724400,4775500,6600,121,577200
1988,704200,3734000,5300,143,533600
1987,744600,5461300,7300,101,552600
1986,740300,4699200,6300,90,421800
1985,849800,5435900,6400,113,614200
1984,857900,5207300,6100,134,699100
1983,809400,4696700,5800,159,745100
1982,841700,5194600,6200,112,580800
1981,878900,5235700,6000,115,601900
Soybeans,Harvested Area (hectares),Production (tonnes),Yield (kg/hectare),Price per unit ($/tonne), Total Value ($'000)
2017,1238300,3797000,3100,449.83,1708004.51
2016,1092700,3374700,3100,458.19776572732394,1546280
2015,1173600,3594000,3100,437.62104,1572810.01776
2014,1238300,3791100,3100,511.47648,1939058.483328
2013,1050200,3238600,3100,503.8,1631606.68
2012,1046900,3401915.959068147,3249.513763557309,517,1758790.550838232
2011,996700,3189700,3200,448.66,1431090.802
2010,1009700,3129800,3100,408,1243200
2009,997600,2694300,2700,389,1019300
2008,847800,2476600,2900,415,1028300
2007,900400,2000300,2200,372,743800
2006,862000,2667100,3100,265,708100
2005,936800,2585500,2800,249,643800
2004,930800,2476600,2700,283,700200
2003,805300,1728200,2100,363,627000
2002,835700,1905100,2300,312,595000
2001,900400,1279100,1400,269,343500
2000,904500,2313300,2600,260,601100
1999,860000,2340500,2700,263,616600
1998,849800,2340500,2800,279,651900
1997,936800,2394900,2600,337,806100
1996,764900,1905100,2500,370,704900
1995,734500,2041100,2800,323,660000
1994,758800,2068400,2700,273,564700
1993,704200,1823400,2600,299,546100
1992,586800,1360800,2300,251,342000
1991,570200,1388000,2400,227,315200
1990,465400,1211100,2600,230,278600
1989,522000,1175700,2300,243,285600
1988,518000,1124000,2200,311,349400
1987,453200,1251900,2800,264,330700
1986,380300,949800,2500,232,219900
1985,404700,1012400,2500,247,249600
1984,404700,917200,2300,277,254400
1983,364200,734800,2000,343,251900
1982,364200,849100,2300,250,212200
1981,278900,606800,2200,264,160300
